"Collection #","Longitude","Latitude","Time","Date","Temperature","Salinity"
"CHM01111403",-82.092667,26.92225,12:22:00,14-Nov-01,22.1,24.1
"CHM01111404",-82.029667,26.949833,13:20:00,14-Nov-01,22.6,16.05
"CHM01111405",-82.09725,26.953217,14:10:00,14-Nov-01,22.45,25.3
"CHM01111501",-82.064717,26.771417,10:30:00,15-Nov-01,20.75,27.2
"CHM01111502",-82.06505,26.64175,12:50:00,15-Nov-01,21.6,22.5
"CHM01111503",-82.087,26.661283,13:50:00,15-Nov-01,21.4,25.5
"CHM01111504",-82.102233,26.6408,14:50:00,15-Nov-01,21.9,22.3
"CHM01113201",-82.237217,26.690517,10:15:00,13-Nov-01,21.8,32.9666666667
"CHM01113202",-82.2393,26.688217,11:30:00,13-Nov-01,22.2,32.95
"CHM01113202",-82.2393,26.688217,11:30:00,13-Nov-01,22.2,32.95
"CHM01113202",-82.2393,26.688217,11:30:00,13-Nov-01,22.2,32.95
"CHM01113203",-82.175817,26.6869,13:00:00,13-Nov-01,23.35,31
"CHM01113204",-82.225933,26.77745,15:00:00,13-Nov-01,22.3333333333,34.8666666667
"CHM01121001",-82.063383,26.788117,10:10:00,10-Dec-01,24.2,30.45
"CHM01121002",-82.05975,26.812133,11:15:00,10-Dec-01,25,28.9
"CHM01121003",-82.076967,26.628633,13:30:00,10-Dec-01,26.15,26.25
"CHM01121004",-82.089233,26.679217,14:15:00,10-Dec-01,26.1,26.9
"CHM01121101",-82.2407,26.691117,10:15:00,11-Dec-01,24.7,34.3666666667
"CHM01121102",-82.17025,26.773717,12:45:00,11-Dec-01,25.5,30
"CHM01121103",-82.243283,26.807933,14:10:00,11-Dec-01,27.1,34.5
"CHM01121104",-82.2113,26.807567,15:20:00,11-Dec-01,27.65,31.3
"CHM01121201",-82.180867,26.613017,10:15:00,12-Dec-01,25,35.15
"CHM01121202",-82.208867,26.585833,11:30:00,12-Dec-01,25.9,35.05
"CHM01121203",-82.200467,26.560917,12:45:00,12-Dec-01,26.05,35.15
"CHM01121204",-82.143783,26.625167,14:00:00,12-Dec-01,26.45,34.6
"CHM01121401",-82.096683,26.903333,9:05:00,14-Dec-01,24,27.8
"CHM01121402",-82.048417,26.941283,10:57:00,14-Dec-01,24.6,20.65
"CHM01121403",-82.0225,26.966733,11:59:00,14-Dec-01,25.4,12.8
"CHM01121404",-82.168333,26.93855,12:58:00,14-Dec-01,26.6,24.9
"CHM01121405",-82.115417,26.949917,13:56:00,14-Dec-01,26.75,24.7
"CHM02010201",-82.273883,26.802767,10:15:00,2-Jan-02,17.3,36.4666666667
"CHM02010205",-82.165317,26.78125,14:00:00,2-Jan-02,16.8,28.9
"CHM02010802",-82.064683,26.784517,10:45:00,8-Jan-02,12.8,30.1
"CHM02010805",-82.058117,26.87295,14:00:00,8-Jan-02,14.85,28.2
"CHM02010902",-82.1135,26.683483,11:00:00,9-Jan-02,11.9,32.5
"CHM02010903",-82.102233,26.6505,12:15:00,9-Jan-02,12.7,31.1
"CHM02011403",-82.24455,26.701033,12:00:00,14-Jan-02,16.8666666667,35.4666666667
"CHM02011406",-82.193883,26.678733,13:55:00,14-Jan-02,17.95,34.85
"CHM02011408",-82.17545,26.6867,15:00:00,14-Jan-02,18.25,34.75
"CHM02012801",-82.07745,26.956767,9:37:00,28-Jan-02,24,25.5
"CHM02012802",-82.123817,26.940133,10:40:00,28-Jan-02,24.6,26
"CHM02012803",-82.135017,26.928333,11:07:00,28-Jan-02,24.7,27
"CHM02012804",-82.158567,26.928933,12:48:00,28-Jan-02,26.7,26
"CHM02013201",-82.187083,26.600167,10:30:00,25-Jan-02,22.75,34.05
"CHM02013202",-82.200833,26.561817,11:20:00,25-Jan-02,22.35,34.95
"CHM02013203",-82.1349,26.593233,13:20:00,25-Jan-02,24.7,34.65
"CHM02013204",-82.130333,26.593083,14:10:00,25-Jan-02,25.8,34.95
"CHM02020401",-82.229917,26.6463,11:00:00,4-Feb-02,21.8,36
"CHM02020402",-82.214583,26.600267,12:25:00,4-Feb-02,21.8,36.4
"CHM02020403",-82.214433,26.596,13:30:00,4-Feb-02,22.4,35.9
"CHM02020404",-82.191633,26.628883,14:35:00,4-Feb-02,22.5,33.85
"CHM02020501",-82.265867,26.820617,9:45:00,5-Feb-02,19.1666666667,36.8333333333
"CHM02020502",-82.206833,26.771617,10:50:00,5-Feb-02,19.0333333333,33.0333333333
"CHM02020503",-82.1788,26.8111,12:50:00,5-Feb-02,19.5,31.55
"CHM02020504",-82.270317,26.8298,15:00:00,5-Feb-02,19.9,36.65
"CHM02021801",-82.2306,26.962683,9:55:00,18-Feb-02,16.85,22.1
"CHM02021802",-82.20425,26.94955,10:50:00,18-Feb-02,17.1,23.6
"CHM02021803",-82.128083,26.9353,12:10:00,18-Feb-02,19,30.7
"CHM02021804",-82.062733,26.951467,13:49:00,18-Feb-02,19.1,26.1333333333
"CHM02021805",-82.094517,26.9527,14:05:00,18-Feb-02,19.5,28.9
"CHM02021901",-82.0654,26.7721,10:05:00,19-Feb-02,17.6,32.1
"CHM02021902",-82.107433,26.673117,11:48:00,19-Feb-02,17.75,33.9
"CHM02022205",-82.076333,26.63185,13:05:00,22-Feb-02,21.3,30.25
"CHM02022206",-82.108767,26.655817,14:15:00,22-Feb-02,21.4,31.35
