original,corrected,reference,notes
Ascochyta vulgaris var. vulgaris,Ascochyta vulgaris var. vulgaris,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Ascochyta%20vulgaris%20var.%20vulgaris&spKey=NHMSYS0020535043
Aureobasidium pullulans var. lini,Aureobasidium pullulans var. lini,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Aureobasidium%20pullulans%20var.%20lini&spKey=NHMSYS0020535065
Bactrodesmium obliquum var. suttonii,Bactrodesmium obliquum var. suttonii,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Bactrodesmium%20obliquum%20var.%20suttonii&spKey=BMSSYS0000002232
Bertia moriformis var. moriformis,Bertia moriformis var. moriformis,BIO_INFO,Found at: http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Bertia%20moriformis%20var.%20moriformis&spKey=NHMSYS0019999396 
Bertia moriformis var. multiseptata,Bertia moriformis var. multiseptata,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Bertia%20moriformis%20var.%20multiseptata&spKey=NBNSYS0000020009 
Bolbitius titubans var. titubans,Bolbitius titubans var. titubans,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Bolbitius%20titubans%20var.%20titubans&spKey=NHMSYS0019999407 
Boletus luridiformis var. discolor,Boletus luridiformis var. discolor,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Boletus%20luridiformis%20var.%20discolor&spKey=NHMSYS0001476001
Boletus luridiformis var. luridiformis,Boletus luridiformis var. luridiformis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Boletus%20luridiformis%20var.%20luridiformis&spKey=NHMSYS0001476003
Boletus luridus var. luridus,Boletus luridus var. luridus,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Boletus%20luridus%20var.%20luridus&spKey=NHMSYS0001476005
Boletus luridus var. rubriceps,Boletus luridus var. rubriceps,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Boletus%20luridus%20var.%20rubriceps&spKey=BMSSYS0000002714
Chloridium virescens var. chlamydosporum,Chloridium virescens var. chlamydosporum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Chloridium%20virescens%20var.%20chlamydosporum&spKey=BMSSYS0000011087
Chrysomyxa ledi var. rhododendri,Chrysomyxa ledi var. rhododendri,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Chrysomyxa%20ledi%20var.%20rhododendri&spKey=NBNSYS0000144408
Claviceps purpurea var. spartinae,Claviceps purpurea var. spartinae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Claviceps%20purpurea%20var.%20spartinae&spKey=NHMSYS0001477862
Clitopilus scyphoides var. intermedius,Clitopilus scyphoides var. intermedius,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Clitopilus%20scyphoides%20var.%20intermedius&spKey=BMSSYS0000004305
Clitopilus scyphoides var. scyphoides,Clitopilus scyphoides var. scyphoides,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Clitopilus%20scyphoides%20var.%20scyphoides&spKey=NHMSYS0001478132
Conocybe juniana var. juniana,Conocybe juniana var. juniana,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Conocybe%20juniana%20var.%20juniana&spKey=NHMSYS0001478715
Conocybe juniana var. sordescens,Conocybe juniana var. sordescens,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Conocybe%20juniana%20var.%20sordescens&spKey=NHMSYS0001478716
Coprinopsis lagopus var. lagopus,Coprinopsis lagopus var. lagopus,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Coprinopsis%20lagopus%20var.%20lagopus&spKey=NHMSYS0020535270
Coprinus lagopus var. vacillans,Coprinus lagopus var. vacillans,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Coprinus%20lagopus%20var.%20vacillans&spKey=NHMSYS0020535271
Cortinarius brunneus var. brunneus,Cortinarius brunneus var. brunneus,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Cortinarius%20brunneus%20var.%20brunneus&spKey=NHMSYS0001479186
Cortinarius brunneus var. glandicolor,Cortinarius brunneus var. glandicolor,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Cortinarius%20brunneus%20var.%20glandicolor&spKey=NHMSYS0001479187
Cortinarius calochrous var. calochrous,Cortinarius calochrous var. calochrous,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Cortinarius%20calochrous%20var.%20calochrous&spKey=NHMSYS0001479203
Cortinarius calochrous var. coniferarum,Cortinarius calochrous var. coniferarum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Cortinarius%20calochrous%20var.%20coniferarum&spKey=NHMSYS0001479204
Cortinarius calochrous var. parvus,Cortinarius calochrous var. parvus,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Cortinarius%20calochrous%20var.%20parvus&spKey=BMSSYS0000005017
Cortinarius decipiens var. decipiens,Cortinarius decipiens var. decipiens,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Cortinarius%20decipiens%20var.%20decipiens&spKey=NHMSYS0001479297
Cortinarius flexipes var. flabellus,Cortinarius flexipes var. flabellus,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Cortinarius%20flexipes%20var.%20flabellus&spKey=NHMSYS0001479329
Cortinarius flexipes var. flexipes,Cortinarius flexipes var. flexipes,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Cortinarius%20flexipes%20var.%20flexipes&spKey=NHMSYS0001479330
Cortinarius occidentalis var. obscurus,Cortinarius occidentalis var. obscurus,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Cortinarius%20occidentalis%20var.%20obscurus&spKey=NHMSYS0001479412
Cortinarius patibilis var. scoticus,Cortinarius patibilis var. scoticus,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Cortinarius%20patibilis%20var.%20scoticus&spKey=NHMSYS0001479429
Cortinarius scaurus var. herpeticus,Cortinarius scaurus var. herpeticus,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Cortinarius%20scaurus%20var.%20herpeticus&spKey=NHMSYS0001479496
Cortinarius scaurus var. scaurus,Cortinarius scaurus var. scaurus,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Cortinarius%20scaurus%20var.%20scaurus&spKey=NHMSYS0020061910
Crepidotus applanatus var. applanatus,Crepidotus applanatus var. applanatus,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Crepidotus%20applanatus%20var.%20applanatus&spKey=NHMSYS0001479640
Crepidotus applanatus var. subglobiger,Crepidotus applanatus var. subglobiger,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Crepidotus%20applanatus%20var.%20subglobiger&spKey=NHMSYS0001479641
Crocicreas cyathoideum var. cacaliae,Crocicreas cyathoideum var. cacaliae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Crocicreas%20cyathoideum%20var.%20cacaliae&spKey=NBNSYS0000017156
Crocicreas cyathoideum var. cyathoideum,Crocicreas cyathoideum var. cyathoideum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Crocicreas%20cyathoideum%20var.%20cyathoideum&spKey=NHMSYS0001479723
Crocicreas cyathoideum var. pteridicola,Crocicreas cyathoideum var. pteridicola,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Crocicreas%20cyathoideum%20var.%20pteridicola&spKey=NBNSYS0000017157
Crocicreas gramineum var. incertellum,Crocicreas gramineum var. incertellum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Crocicreas%20gramineum%20var.%20incertellum&spKey=NHMSYS0001479724
Crocicreas megalosporum var. gramineum,Crocicreas megalosporum var. gramineum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Crocicreas%20megalosporum%20var.%20gramineum&spKey=NBNSYS00000171
Crocicreas megalosporum var. megalosporum,Crocicreas megalosporum var. megalosporum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Crocicreas%20megalosporum%20var.%20megalosporum&spKey=NHMSYS0019999506
Cudoniella clavus var. clavus,Cudoniella clavus var. clavus,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Cudoniella%20clavus%20var.%20clavus&spKey=BMSSYS0000005370
Cudoniella clavus var. grandis,Cudoniella clavus var. grandis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Cudoniella%20clavus%20var.%20grandis&spKey=NBNSYS0000017176
Cylindrocarpon olidum var crassum,Cylindrocarpon olidum var. crassum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Cylindrocarpon%20olidum%20var.%20crassum&spKey=NHMSYS0020535314
Cytospora pruinosa var. ligustri,Cytospora pruinosa var. ligustri,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Cytospora%20pruinosa%20var.%20ligustri&spKey=NHMSYS0001480134
Dematioscypha richonis var. richonis,Dematioscypha richonis var. richonis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Dematioscypha%20richonis%20var.%20richonis&spKey=NHMSYS0019999521
Dermoloma josserandii var. josserandii,Dermoloma josserandii var. josserandii,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Dermoloma%20josserandii%20var.%20josserandii&spKey=NHMSYS0001480534
Dermoloma josserandii var. phaeopodium,Dermoloma josserandii var. phaeopodium,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Dermoloma%20josserandii%20var.%20phaeopodium&spKey=BMSSYS0000005809
Diaporthe arctii var. artemisiae,Diaporthe arctii var. artemisiae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Diaporthe%20arctii%20var.%20artemisiae&spKey=BMSSYS0000005829
Diaporthe phaseolorum var. sojae,Diaporthe phaseolorum var. sojae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Diaporthe%20phaseolorum%20var.%20sojae&spKey=BMSSYS0000005851
Diplodia saccardiana var. anglica,Diplodia saccardiana var. anglica,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Diplodia%20saccardiana%20var.%20anglica&spKey=NHMSYS0020811829
Dothiorella pyrenophora var. pyrenophora,Dothiorella pyrenophora var. pyrenophora,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Dothiorella%20pyrenophora%20var.%20pyrenophora&spKey=NHMSYS0020535394
Dothiorella pyrenophora var. salicis,Dothiorella pyrenophora var. salicis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Dothiorella%20pyrenophora%20var.%20salicis&spKey=BMSSYS0000006236
Entoloma chalybaeum var. chalybaeum,Entoloma chalybaeum var. chalybaeum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20chalybaeum%20var.%20chalybaeum&spKey=NHMSYS0020812571
Entoloma chalybaeum var. lazulinum,Entoloma chalybaeum var. lazulinum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20chalybaeum%20var.%20lazulinum&spKey=NHMSYS0020812577
Entoloma conferendum var. conferendum,Entoloma conferendum var. conferendum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20conferendum%20var.%20conferendum&spKey=BMSSYS0000006472
Entoloma conferendum var. pusillum,Entoloma conferendum var. pusillum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20conferendum%20var.%20pusillum&spKey=NHMSYS0001481532
Entoloma infula var. chlorinosum,Entoloma infula var. chlorinosum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20infula%20var.%20chlorinosum&spKey=NHMSYS0001481573
Entoloma infula var. infula,Entoloma infula var. infula,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20infula%20var.%20infula&spKey=NHMSYS0001481574
Entoloma longistriatum var. longistriatum,Entoloma longistriatum var. longistriatum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20longistriatum%20var.%20longistriatum&spKey=BMSSYS0000006492
Entoloma longistriatum var. sarcitulum,Entoloma longistriatum var. sarcitulum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20longistriatum%20var.%20sarcitulum&spKey=BMSSYS0000006494
Entoloma mougeotii var. fuscomarginatum,Entoloma mougeotii var. fuscomarginatum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20mougeotii%20var.%20fuscomarginatum&spKey=NHMSYS0001481602
Entoloma mougeotii var. mougeotii,Entoloma mougeotii var. mougeotii,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20mougeotii%20var.%20mougeotii&spKey=NHMSYS0001481603
Entoloma poliopus var. discolor,Entoloma poliopus var. discolor,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20poliopus%20var.%20discolor&spKey=BMSSYS0000006512
Entoloma poliopus var. parvisporigerum,Entoloma poliopus var. parvisporigerum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20poliopus%20var.%20parvisporigerum&spKey=BMSSYS0000006513
Entoloma poliopus var. poliopus,Entoloma poliopus var. poliopus,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20poliopus%20var.%20poliopus&spKey=NHMSYS0001481628
Entoloma rhombisporum var. floccipes,Entoloma rhombisporum var. floccipes,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20rhombisporum%20var.%20floccipes&spKey=NHMSYS0001481652
Entoloma rhombisporum var. rhombisporum,Entoloma rhombisporum var. rhombisporum,BIO_INFO,Found at;  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20rhombisporum%20var.%20rhombisporum&spKey=NHMSYS0001481653
Entoloma sericeum var. cinereo-opacum,Entoloma sericeum var. cinereo-opacum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20sericeum%20var.%20cinereo-opacum&spKey=BMSSYS0000006533
Entoloma sericeum var. sericeum,Entoloma sericeum var. sericeum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20sericeum%20var.%20sericeum&spKey=NHMSYS0001481671
Erysiphe aquilegiae var. aquilegiae,Erysiphe aquilegiae var. aquilegiae,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Erysiphe%20aquilegiae%20var.%20aquilegiae&spKey=NBNSYS0000016784
Erysiphe aquilegiae var. ranunculi,Erysiphe aquilegiae var. ranunculi,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Erysiphe%20aquilegiae%20var.%20ranunculi&spKey=NHMSYS0001481890
Erysiphe ornata var. europaea,Erysiphe ornata var. europaea,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Erysiphe%20ornata%20var.%20europaea&spKey=NHMSYS0001481939
Erysiphe pisi var. cruchetiana,Erysiphe pisi var. cruchetiana,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Erysiphe%20pisi%20var.%20cruchetiana&spKey=NBNSYS0000016813
Erysiphe pisi var. pisi,Erysiphe pisi var. pisi,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Erysiphe%20pisi%20var.%20pisi&spKey=NBNSYS0000016812
Erysiphe trifolii var. intermedia,Erysiphe trifolii var. intermedia,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Erysiphe%20trifolii%20var.%20intermedia&spKey=NHMSYS0001481961
Flammulaster carpophilus var. carpophilus,Flammulaster carpophilus var. carpophilus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Flammulaster%20carpophilus%20var.%20carpophilus&spKey=NHMSYS0001482303
Flammulaster carpophilus var. rhombosporus,Flammulaster carpophilus var. rhombosporus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Flammulaster%20carpophilus%20var.%20rhombosporus&spKey=NHMSYS0001482304
Flammulaster carpophilus var. subincarnatus,Flammulaster carpophilus var. subincarnatus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Flammulaster%20carpophilus%20var.%20subincarnatus&spKey=NHMSYS0001482305
Flammulaster limulatus var. limulatus,Flammulaster limulatus var. limulatus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Flammulaster%20limulatus%20var.%20limulatus&spKey=NHMSYS0001482318
Flammulaster limulatus var. litus,Flammulaster limulatus var. litus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Flammulaster%20limulatus%20var.%20litus&spKey=BMSSYS0000006830
Flammulaster limulatus var. novasilvensis,Flammulaster limulatus var. novasilvensis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Flammulaster%20limulatus%20var.%20novasilvensis&spKey=NHMSYS0001482319
Flammulina velutipes var. lactea,Flammulina velutipes var. lactea,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Flammulina%20velutipes%20var.%20lactea&spKey=BMSSYS0000006832
Flammulina velutipes var. velutipes,Flammulina velutipes var. velutipes,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Flammulina%20velutipes%20var.%20velutipes&spKey=NHMSYS0001482330
Fusarium oxysporum f.sp. asparagi,Fusarium oxysporum f.sp. asparagi,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Fusarium%20oxysporum%20f.sp.%20asparagi&spKey=NHMSYS0001482490
Fusarium oxysporum f.sp. dianthi,Fusarium oxysporum f.sp. dianthi,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Fusarium%20oxysporum%20f.sp.%20dianthi&spKey=NHMSYS0020535462
Fusarium oxysporum f.sp. lycopersici,Fusarium oxysporum f.sp. lycopersici,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Fusarium%20oxysporum%20f.sp.%20lycopersici&spKey=NHMSYS0001482492
Fusarium oxysporum f.sp. pisi,Fusarium oxysporum f.sp. pisi,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Fusarium%20oxysporum%20f.sp.%20pisi&spKey=NHMSYS0020535463
Fusarium oxysporum f.sp. tulipae,Fusarium oxysporum f.sp. tulipae,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Fusarium%20oxysporum%20f.sp.%20tulipae&spKey=NHMSYS0001482493
Gaeumannomyces graminis var. avenae,Gaeumannomyces graminis var. avenae,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Gaeumannomyces%20graminis%20var.%20avenae&spKey=NHMSYS0001482576
Gaeumannomyces graminis var. graminis,Gaeumannomyces graminis var. graminis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Gaeumannomyces%20graminis%20var.%20graminis&spKey=BMSSYS0000007038
Galerina cerina var. cerina,Galerina cerina var. cerina,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Galerina%20cerina%20var.%20cerina&spKey=NHMSYS0001482697
Godronia cassandrae f. callunae,Godronia cassandrae f. callunae,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Godronia%20cassandrae%20f.%20callunae&spKey=NBNSYS0000017347
Golovinomyces cichoracearum var. fischeri,Golovinomyces cichoracearum var. fischeri,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Golovinomyces%20cichoracearum%20var.%20fischeri&spKey=NHMSYS0019999596
Golovinomyces cichoracearum var. latisporus,Golovinomyces cichoracearum var. latisporus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Golovinomyces%20cichoracearum%20var.%20latisporus&spKey=NHMSYS0019999597
Hebeloma mesophaeum var. crassipes,Hebeloma mesophaeum var. crassipes,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hebeloma%20mesophaeum%20var.%20crassipes&spKey=NHMSYS0001483647
Hebeloma mesophaeum var. mesophaeum,Hebeloma mesophaeum var. mesophaeum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hebeloma%20mesophaeum%20var.%20mesophaeum&spKey=NHMSYS0001483648
Hendersonia fiedleri var. symphoricarpi,Hendersonia fiedleri var. symphoricarpi,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hendersonia%20fiedleri%20var.%20symphoricarpi&spKey=BMSSYS0000007992
Hormiscium pithyophilum var. myrmecophilum,Hormiscium pithyophilum var. myrmecophilum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hormiscium%20pithyophilum%20var.%20myrmecophilum&spKey=BMSSYS0000008096
Hyaloscypha albohyalina var. albohyalina,Hyaloscypha albohyalina var. albohyalina,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hyaloscypha%20albohyalina%20var.%20albohyalina&spKey=BMSSYS0000008147
Hygrocybe calyptriformis var. calyptriformis,Hygrocybe calyptriformis var. calyptriformis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hygrocybe%20calyptriformis%20var.%20calyptriformis&spKey=NHMSYS0001484410
Hygrocybe calyptriformis var. domingensis,Hygrocybe calyptriformis var. domingensis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hygrocybe%20calyptriformis%20var.%20domingensis&spKey=BMSSYS0000008330
Hygrocybe conica var. conica,Hygrocybe conica var. conica,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hygrocybe%20conica%20var.%20conica&spKey=NHMSYS0001484458
Hygrocybe glutinipes var. glutinipes,Hygrocybe glutinipes var. glutinipes,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hygrocybe%20glutinipes%20var.%20glutinipes&spKey=NHMSYS0001484471
Hygrocybe glutinipes var. rubra,Hygrocybe glutinipes var. rubra,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hygrocybe%20glutinipes%20var.%20rubra&spKey=NHMSYS0001484472
Hygrocybe laeta var. laeta,Hygrocybe laeta var. laeta,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hygrocybe%20laeta%20var.%20laeta&spKey=NHMSYS0001484481
Hygrocybe persistens var. konradii,Hygrocybe persistens var. konradii,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hygrocybe%20persistens%20var.%20konradii&spKey=BMSSYS0000008371
Hygrocybe persistens var. persistens,Hygrocybe persistens var. persistens,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hygrocybe%20persistens%20var.%20persistens&spKey=NHMSYS0001484506
Hygrocybe pratensis var. pallida,Hygrocybe pratensis var. pallida,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hygrocybe%20pratensis%20var.%20pallida&spKey=NHMSYS0001442779
Hygrocybe pratensis var. pratensis,Hygrocybe pratensis var. pratensis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hygrocybe%20pratensis%20var.%20pratensis&spKey=NHMSYS0001484508
Hygrocybe psittacina var. perplexa,Hygrocybe psittacina var. perplexa,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hygrocybe%20psittacina%20var.%20perplexa&spKey=BMSSYS0000008377
Hygrocybe psittacina var. psittacina,Hygrocybe psittacina var. psittacina,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hygrocybe%20psittacina%20var.%20psittacina&spKey=NHMSYS0001484511
Hygrocybe substrangulata var. substrangulata,Hygrocybe substrangulata var. substrangulata,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hygrocybe%20substrangulata%20var.%20substrangulata&spKey=NHMSYS0001484531
Hygrocybe virginea var. fuscescens,Hygrocybe virginea var. fuscescens,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hygrocybe%20virginea%20var.%20fuscescens&spKey=NHMSYS0001484539
Hygrocybe virginea var. ochraceopallida,Hygrocybe virginea var. ochraceopallida,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hygrocybe%20virginea%20var.%20ochraceopallida&spKey=BMSSYS0000008389
Hygrocybe virginea var. virginea,Hygrocybe virginea var. virginea,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hygrocybe%20virginea%20var.%20virginea&spKey=BMSSYS0000008392
