original_id,original_name,corrected_id,corrected_name
GOMEXSI:glaucothoe,glaucothoe,GLOBI:GLAUCOTHOE,GLAUCOTHOE
,furcilia,GLOBI:calyptopis,calyptopis
,fruits,http://purl.obolibrary.org/obo/PO_0009001,fruit
,Fruiting,http://purl.obolibrary.org/obo/PO_0001002,fruit developmental stage
,Flowering and fruiting,http://purl.obolibrary.org/obo/PO_0007616,flowering stage
,Flowering and Fruiting,http://purl.obolibrary.org/obo/PO_0007616,flowering stage
,Flowering,http://purl.obolibrary.org/obo/PO_0007616,flowering stage
,Fertile,http://purl.obolibrary.org/obo/PATO_0000955,fertile
,f6,http://purl.obolibrary.org/obo/UBERON_8200007,copepodite stage 6
,f5,http://purl.obolibrary.org/obo/UBERON_8200006,copepodite stage 5
,f4,http://purl.obolibrary.org/obo/UBERON_8200005,copepodite stage 4
,f3,http://purl.obolibrary.org/obo/UBERON_8200004,copepodite stage 3
,f1,http://purl.obolibrary.org/obo/UBERON_8200002,copepodite stage 1
,embryo,http://purl.obolibrary.org/obo/UBERON_0000922,embryo
GOMEXSI:eggs,eggs,UBERON:0007379,egg
GOMEXSI:egg,egg,UBERON:0007379,egg
BIO_INFO:egg,egg,UBERON:0007379,egg
,early life stages,http://purl.obolibrary.org/obo/UBERON_0034920,infant stage
,cysticercus,http://purl.obolibrary.org/obo/UBERON_0014856,cysticercus stage
GOMEXSI:cypris,cypris,GLOBI:CYPRIS,CYPRIS
GOMEXSI:cyp,cyp,GLOBI:CYPRIS,CYPRIS
,copepodite 6,http://purl.obolibrary.org/obo/UBERON_8200007,copepodite stage 6
,copepodite 5,http://purl.obolibrary.org/obo/UBERON_8200006,copepodite stage 5
,copepodite 4,http://purl.obolibrary.org/obo/UBERON_8200005,copepodite stage 4
,copepodite 3,http://purl.obolibrary.org/obo/UBERON_8200004,copepodite stage 3
,copepodite 2,http://purl.obolibrary.org/obo/UBERON_8200003,copepodite stage 2
,copepodite 1,http://purl.obolibrary.org/obo/UBERON_8200002,copepodite stage 1
GLOBI:COPEPODITE,copepodite,http://purl.obolibrary.org/obo/UBERON_0014860,copepodite stage
