original_id,original_name,corrected_id,corrected_name
GOMEXSI:caudal_spines,caudal_spines,GLOBI:CAUDAL_SPINE,CAUDAL_SPINE
,carapace,UBERON:0008275,carapace
,caecum (or cecum),UBERON:0001153,caecum
,caecum,UBERON:0001153,caecum
,caeca,UBERON:0001153,caecum
,bursa,UBERON:0003903,bursa of Fabricius
,bud,PO:0000055,bud
,bronchi,UBERON:0002185,bronchus
,brain,UBERON:0000955,brain
,Bones,UBERON:0002481,bone tissue
GOMEXSI:bone,bone,UBERON:0002481,bone tissue
,body surface,UBERON:0006984,anatomical surface
,body cavity,UBERON:0002558,organ cavity
,body,UBERON:0013702,body proper
,blood,UBERON:0000178,blood
,bladder,UBERON:0001255,urinary bladder
,bile ducts,UBERON:0002394,bile duct
,bile duct,UBERON:0002394,bile duct
,beak,UBERON:0005094,beak
,bark,PO:0004518,bark
,antennal glands,UBERON:0009963,antennal gland
,antenna,UBERON:0000972,antenna
,allantoic fluid,UBERON:0004340,allantois
,air bladder,GLOBI:air_bladder,air bladder
,abomasum,UBERON:0007358,abomasum
,abo1,UBERON:0007358,abomasum
,abo,UBERON:0007358,abomasum
,abdominal cavity,UBERON:0003684,abdominal cavity
,2 guts,UBERON:0000160,intestine
,UNKNOWN,GLOBI:UNKNOWN,UNKNOWN
