System	NodeID	SpeciesID	StageID	Stage	SpeciesID.StageID	WorkingName	OrganismalGroup	NodeType	Resolution	ResolutionNotes	Feeding	Lifestyle(stage)	Lifestyle(species)	ConsumerStrategy(stage)	HabitatAffiliation	Mobility	Residency	NativeStatus	BodySize(g)	BodySizeSD	BodySizeN	BodySizeEstimation	BodySizeNotes	Abundance(no./ha)	Abundance95%CL	AbundanceDF	Biomass(kg/ha)	Biomass95%CL	BiomassDF	BiomassEstimation	BiomassNotes	Kingdom	Phylum	Subphylum	Superclass	Class	Subclass	Order	Suborder	Infraorder	Superfamily	Family	Genus	SpecificEpithet	NodeNotes
EPB	84	60	1	adult	60.1	Chione fluctifraga	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		6.25426222		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	1220.16	2985.62891	6	7.6312132	18.6729061	6	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Veneridae	Chione	fluctifraga	
EPB	85	61	1	adult	61.1	California Softshell Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		0.18284959	0.08055812	6	population	individuals encountered during the random sampling described in Kuris et al. (2008)	60261.54	139953.072	4.00344077	7.4505812	14.4726662	4.20881053	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Myidae	Cryptomya	californica	
CSM	85	61	1	adult	61.1	California Softshell Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		0.35478198	0.28195689	34	population	individuals encountered during the random sampling described in Kuris et al. (2008)	34347.38	38177.8568	7	12.185831	12.0927894	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Myidae	Cryptomya	californica	
EPB	86	62	1	adult	62.1	Ribbed Mussel	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		8.98188667	6.15712429	118	population	individuals encountered during the random sampling described in Kuris et al. (2008)	69224.13	65411.3451	6.31908002	626.91202	549.398658	7.15858828	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Mytilidae	Geukensia	demissa	
EPB	87	63	1	adult	63.1	Pacific Eggcockle	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		0.14450565	0.12450535	2	population	individuals encountered during the random sampling described in Kuris et al. (2008)	4013.71	8448.76566	7.00439556	0.3096666	0.52331401	8.24300617	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Cardiidae	Laevicardium	substriatum	
EPB	88	64	1	adult	64.1	Bent-nosed Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		1.83610916	0.89957012	2	population	individuals encountered during the random sampling described in Kuris et al. (2008)	7084.39	16751.9133	7	13.007708	30.7583415	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Tellinidae	Macoma	nasuta	
CSM	88	64	1	adult	64.1	Bent-nosed Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		6.59637917	4.43703093	78	population	individuals encountered during the random sampling described in Kuris et al. (2008)	76776.49	70215.6109	7	519.40736	475.265182	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Tellinidae	Macoma	nasuta	
CSM	89	65	1	adult	65.1	White Sand Macoma	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		26.0738713	17.365777	8	population	individuals encountered during the random sampling described in Kuris et al. (2008)	8081.74	14446.0053	7	210.72214	373.493639	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Tellinidae	Macoma	secta	
BSQ	90	66	1	adult	66.1	Blue Mussel	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident															Animalia	Mollusca			Bivalvia						Mytilidae	Mytilus	galloprovincialis	
CSM	90	66	1	adult	66.1	Blue Mussel	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident															Animalia	Mollusca			Bivalvia						Mytilidae	Mytilus	galloprovincialis	
CSM	91	67	1	adult	67.1	California Mahogany Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		44.6619368		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	1010.22	2388.78359	7	45.118247	106.687702	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Psammobiidae	Nuttallia	nuttallii	
EPB	92	68	1	adult	68.1	Pacific Littleneck Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		2.84970943		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	628.69	1538.35795	6	1.7915942	4.38387316	6	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Veneridae	Protothaca	staminea	
CSM	92	68	1	adult	68.1	Pacific Littleneck Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		18.652076	11.4342539	33	population	individuals encountered during the random sampling described in Kuris et al. (2008)	30306.51	32251.7381	7	569.15303	601.444886	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Veneridae	Protothaca	staminea	
EPB	93	69	1	adult	69.1	Protothaca?	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		2.84970943		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	628.69	1538.35795	6	1.7915942	4.38387316	6	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia									
CSM	94	70	1	adult	70.1	Butter Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		152.991665		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	1010.22	2388.78359	7	151.8597	359.091128	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Veneridae	Saxidomus	nuttalli	
CSM	95	71	1	adult	71.1	Fat Jackknife Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		6.5695182		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	2020.43	3127.65189	7	33.00865	62.0920698	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Psammobiidae	Tagelus	affinis	
EPB	95	71	1	adult	71.1	Fat Jackknife Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		4.87004429		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	471.52	1153.76846	6	2.2963245	5.6189035	6	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Psammobiidae	Tagelus	affinis	
CSM	96	72	1	adult	72.1	California Jackknife Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		20.0794771	7.54982449	14	population	individuals encountered during the random sampling described in Kuris et al. (2008)	13132.82	25775.4699	7	257.61279	537.179582	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Psammobiidae	Tagelus	californianus	
EPB	97	73	1	adult	73.1	Lesser Tagelus	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		2.04512797	1.92843458	41	population	individuals encountered during the random sampling described in Kuris et al. (2008)	104793.32	108254.393	7.00245346	241.99	225.680577	7.00201836	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Psammobiidae	Tagelus	subteres	
CSM	97	73	1	adult	73.1	Lesser Tagelus	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		9.80811218	6.929896	32	population	individuals encountered during the random sampling described in Kuris et al. (2008)	32326.94	44083.9918	7	317.06629	529.496172	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Psammobiidae	Tagelus	subteres	
EPB	98	74	1	adult	74.1	unk bivalve	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		0.88111393	0.56925507	4	population	individuals encountered during the random sampling described in Kuris et al. (2008)	19245.92	29918.9434	7	23.309543	42.6734808	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia									
EPB	99	59	2	larva	59.2	Chione californiensis	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0025226			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Veneridae	Chione	californiensis	
EPB	100	60	2	larva	60.2	Chione fluctifraga	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0005796			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Veneridae	Chione	fluctifraga	
CSM	101	61	2	larva	61.2	California Softshell Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0001898			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Myidae	Cryptomya	californica	
EPB	101	61	2	larva	61.2	California Softshell Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0005659			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Myidae	Cryptomya	californica	
EPB	102	62	2	larva	62.2	Ribbed Mussel	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0476137			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Mytilidae	Geukensia	demissa	
EPB	103	63	2	larva	63.2	Pacific Eggcockle	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				2.3519e-5			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Cardiidae	Laevicardium	substriatum	
CSM	104	64	2	larva	64.2	Bent-nosed Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0080906			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Tellinidae	Macoma	nasuta	
EPB	104	64	2	larva	64.2	Bent-nosed Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0009879			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Tellinidae	Macoma	nasuta	
CSM	105	65	2	larva	65.2	White Sand Macoma	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0032823			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Tellinidae	Macoma	secta	
BSQ	106	66	2	larva	66.2	Blue Mussel	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples									Animalia	Mollusca			Bivalvia						Mytilidae	Mytilus	galloprovincialis	
CSM	106	66	2	larva	66.2	Blue Mussel	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples									Animalia	Mollusca			Bivalvia						Mytilidae	Mytilus	galloprovincialis	
CSM	107	67	2	larva	67.2	California Mahogany Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0007028			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Psammobiidae	Nuttallia	nuttallii	
CSM	108	68	2	larva	68.2	Pacific Littleneck Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0088654			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Veneridae	Protothaca	staminea	
EPB	108	68	2	larva	68.2	Pacific Littleneck Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0001361			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Veneridae	Protothaca	staminea	
EPB	109	69	2	larva	69.2	Protothaca?	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0001361			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Veneridae			
CSM	110	70	2	larva	70.2	Butter Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0023654			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Veneridae	Saxidomus	nuttalli	
CSM	111	71	2	larva	71.2	Fat Jackknife Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0005142			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Psammobiidae	Tagelus	affinis	
EPB	111	71	2	larva	71.2	Fat Jackknife Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0001744			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Psammobiidae	Tagelus	affinis	
CSM	112	72	2	larva	72.2	California Jackknife Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0040127			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Psammobiidae	Tagelus	californianus	
CSM	113	73	2	larva	73.2	Lesser Tagelus	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0049388			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Psammobiidae	Tagelus	subteres	
EPB	113	73	2	larva	73.2	Lesser Tagelus	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.018379			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Psammobiidae	Tagelus	subteres	
EPB	114	74	2	larva	74.2	unk bivalve	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0017703			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia									
EPB	115	75	1	adult	75.1	Acteocina inculta	snail	taxon	Species		feeding	free-living	free-living	predator		low	resident		0.00650196			species	mean of csm & bsq				2.6160855			extrapolation from other estuary	mean of csm&bsq; forced presence because assume 1st int. host for Hysterolecitha)	Animalia	Mollusca			Gastropoda						Scaphandridae	Acteocina	inculta	
BSQ	115	75	1	adult	75.1	Acteocina inculta	snail	taxon	Species		feeding	free-living	free-living	predator		low	resident		0.00564874	0.00206365	9	population	individuals encountered during the random sampling described in Kuris et al. (2008)	497794.36	835219.142	4.12778938	2.9697476	4.51912685	5.01604108	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Scaphandridae	Acteocina	inculta	
CSM	115	75	1	adult	75.1	Acteocina inculta	snail	taxon	Species		feeding	free-living	free-living	predator		low	resident		0.00735517	0.00446243	24	population	individuals encountered during the random sampling described in Kuris et al. (2008)	335929.23	426959.538	7.01997709	2.2624235	2.38053571	8.24191093	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Scaphandridae	Acteocina	inculta	
EPB	116	76	1	adult	76.1	California Assiminea	snail	taxon	Species		feeding	free-living	free-living	detritivore		low	resident		0.00218564			species	mean of csm & bsq				3.7272634			extrapolation from other estuary	mean of csm&bsq;forced presence because assume 1st int. host for ass.microphallid-trem.mc)	Animalia	Mollusca			Gastropoda						Assimineidae	Assiminea	californica	
BSQ	116	76	1	adult	76.1	California Assiminea	snail	taxon	Species		feeding	free-living	free-living	detritivore		low	resident		0.00235182	0.00025167	5	population	individuals encountered during the random sampling described in Kuris et al. (2008)	509568.07	1414787.76	4	1.1984132	3.32732855	4	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Assimineidae	Assiminea	californica	
CSM	116	76	1	adult	76.1	California Assiminea	snail	taxon	Species		feeding	free-living	free-living	detritivore		low	resident		0.00201946	0.00069841	21	population	individuals encountered during the random sampling described in Kuris et al. (2008)	3097911.13	2622591.68	4	6.2561136	5.02173745	4	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Assimineidae	Assiminea	californica	
BSQ	117	77	1	adult	77.1	Four-Threaded Bittium	snail	taxon	Species		feeding	free-living	free-living	predator		low	resident		0.02180034	0.01776239	21	population	individuals encountered during the random sampling described in Kuris et al. (2008)	442234.02	639135.951	4.38811805	9.3851919	13.9620632	4.18065274	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Cerithiidae	Bittium	quadrifilatum	
EPB	118	78	1	adult	78.1	Cloudy Bubble Snail	snail	taxon	Species		feeding	free-living	free-living	predator		low	resident		0.16392734	0.09097491	2	population	individuals encountered during the random sampling described in Kuris et al. (2008)	7084.39	16751.9133	7	1.1613247	2.74609659	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Bullidae	Bulla	gouldiana	
EPB	119	79	1	adult	79.1	California Horn Snail	snail	taxon	Species		feeding	free-living	free-living	predator		low	resident		0.72237749	0.28922151	3573	population	individuals encountered during the random sampling described in Kuris et al. (2008)	1350870.80	1374715.95	4.02067572	854.39065	716.097812	4.02938504	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Potamididae	Cerithidea	californica	
CSM	119	79	1	adult	79.1	California Horn Snail	snail	taxon	Species		feeding	free-living	free-living	predator		low	resident		1.2137299	0.40252687	1175	population	individuals encountered during the random sampling described in Kuris et al. (2008)	131400.02	94146.5794	10.4601029	143.83576	102.816467	11.4817604	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Potamididae	Cerithidea	californica	
BSQ	119	79	1	adult	79.1	California Horn Snail	snail	taxon	Species		feeding	free-living	free-living	predator		low	resident		0.84586523	0.40657919	2923	population	individuals encountered during the random sampling described in Kuris et al. (2008)	561446.77	436201.856	4.1164892	568.8682	473.443486	4.03717218	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Potamididae	Cerithidea	californica	
EPB	120	80	1	adult	80.1	Paper Bubble Snail	snail	taxon	Species		feeding	free-living	free-living	predator		low	resident		0.05616945	0.00775684	6	population	individuals encountered during the random sampling described in Kuris et al. (2008)	61892.31	98431.2095	8.05147561	3.3994578	5.33260262	7.94701145	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Haminoeidae	Haminoea	vesicula	
EPB	121	81	1	adult	81.1	Littorina?	snail	taxon	Species		feeding	free-living	free-living	predator		low	resident		0.08341169		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	3542.19	8375.95667	7	0.2954604	0.69865271	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda									
EPB	122	82	1	adult	82.1	Salt Marsh Snail	snail	taxon	Species		feeding	free-living	free-living	detritivore		low	resident		0.22456482	0.09540984	76	population	individuals encountered during the random sampling described in Kuris et al. (2008)	37590.81	23708.4751	4.33227155	9.3770047	5.71190205	4.2428339	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Ellobiidae	Melampus	olivaceus	
CSM	122	82	1	adult	82.1	Salt Marsh Snail	snail	taxon	Species		feeding	free-living	free-living	detritivore		low	resident		0.21034532	0.11792447	87	population	individuals encountered during the random sampling described in Kuris et al. (2008)	404504.32	503973.539	4	85.015283	84.1921254	4	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Ellobiidae	Melampus	olivaceus	
BSQ	122	82	1	adult	82.1	Salt Marsh Snail	snail	taxon	Species		feeding	free-living	free-living	detritivore		low	resident		0.59693018	0.14026375	26	population	individuals encountered during the random sampling described in Kuris et al. (2008)	18348.09	25987.9714	4.00000009	10.605524	15.1458426	4.00000004	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Ellobiidae	Melampus	olivaceus	
EPB	123	83	1	adult	83.1	Nassarius tegula	snail	taxon	Species		feeding	free-living	free-living	predator		low	resident		0.45077395	0.15568186	65	population	individuals encountered during the random sampling described in Kuris et al. (2008)	64683.73	141172.517	7.00000022	30.698528	66.4143463	7.0000001	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Nassariidae	Nassarius	tegula	
EPB	124	84	1	adult	84.1	opisthobranch	snail	taxon	Species		feeding	free-living	free-living	detritivore		low	resident		0.00073107		6	population	individuals encountered during the random sampling described in Kuris et al. (2008)	264821.13	626202.475	7	0.1936015	0.45779481	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda	Opistobranchia								
EPB	125	85	1	adult	85.1	pyramidellid	snail	taxon	Species		feeding	free-living	free-living	micropredator		low	resident		0.00274767		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	26482.11	62620.2475	7	0.072764	0.17205962	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Pyramidellidae			
BSQ	126	86	1	adult	86.1	Black Salt Marsh Mosquito	mosquito	life stage	Species		feeding	free-living	free-living	micropredator		intermediate	resident		0.0025			species	literature (Koenraadt 2008) mass of congener, A. aegypti									Animalia	Arthropoda	Hexapoda				Diptera				Culicidae	Aedes	taeniorhynchus	
CSM	126	86	1	adult	86.1	Black Salt Marsh Mosquito	mosquito	life stage	Species		feeding	free-living	free-living	micropredator		intermediate	resident		0.0025			species	literature (Koenraadt 2008) mass of congener, A. aegypti									Animalia	Arthropoda	Hexapoda				Diptera				Culicidae	Aedes	taeniorhynchus	
EPB	126	86	1	adult	86.1	Black Salt Marsh Mosquito	mosquito	life stage	Species		feeding	free-living	free-living	micropredator		intermediate	resident		0.0025			species	literature (Koenraadt 2008) mass of congener, A. aegypti									Animalia	Arthropoda	Hexapoda				Diptera				Culicidae	Aedes	taeniorhynchus	
CSM	127	87	1	adult	87.1	Argulus	branchiuran	taxon	Genus		feeding	free-living	free-living	micropredator					0.000264			species	volumetric; from photo on web									Animalia	Arthropoda	Crustacea		Branchiura						Argulidae	Argulus		
EPB	127	87	1	adult	87.1	Argulus	branchiuran	taxon	Genus		feeding	free-living	free-living	micropredator					0.000264			species	volumetric; from photo on web									Animalia	Arthropoda	Crustacea		Branchiura						Argulidae	Argulus		
BSQ	128	88	1	adult	88.1	Coleopteran	beetle	taxon	Species		feeding	free-living	free-living	detritivore		low	resident		0.00124115	7.39438e-5	2	population	individuals encountered during the random sampling described in Kuris et al. (2008)	203827.23	565915.106	4	0.2529801	0.70238529	4	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Arthropoda	Hexapoda				Coleoptera							
BSQ	129	89	1	adult	89.1	corophiid?	amphipod	taxon	Species		feeding	free-living	free-living	detritivore		low	resident		0.00120054	0.00090034	12	population	individuals encountered during the random sampling described in Kuris et al. (2008)	888208.86	2466063.15	4	1.0663345	2.96061928	4	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Arthropoda	Crustacea		Malacostraca		Amphipoda				Corophiidae			
CSM	129	89	1	adult	89.1	corophiid?	amphipod	taxon	Species		feeding	free-living	free-living	detritivore		low	resident		0.00573086	0.00497556	70	population	individuals encountered during the random sampling described in Kuris et al. (2008)	1057360.45	1665065.41	7	6.0595817	9.27579308	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Arthropoda	Crustacea		Malacostraca		Amphipoda				Corophiidae			
BSQ	130	90	1	adult	90.1	Western Encephalitis Mosquito	mosquito	life stage	Species		feeding	free-living	free-living	micropredator		intermediate	resident		0.00217			species	literature (Gray & Bradley 2003)									Animalia	Arthropoda	Hexapoda				Diptera				Culicidae	Culex	tarsalis	
CSM	130	90	1	adult	90.1	Western Encephalitis Mosquito	mosquito	life stage	Species		feeding	free-living	free-living	micropredator		intermediate	resident		0.00217			species	literature (Gray & Bradley 2003)									Animalia	Arthropoda	Hexapoda				Diptera				Culicidae	Culex	tarsalis	
EPB	130	90	1	adult	90.1	Western Encephalitis Mosquito	mosquito	life stage	Species		feeding	free-living	free-living	micropredator		intermediate	resident		0.00217			species	literature (Gray & Bradley 2003)									Animalia	Arthropoda	Hexapoda				Diptera				Culicidae	Culex	tarsalis	
