interaction_type_ignored
perchingOn
no:match
perchedOnBy
inhabitedBy
inhabits
livedOnBy
livesOn
livedInsideOfBy
livesInsideOf
livedNearBy
livesNear
livedUnderBy
livesUnder
livesWith
endoparasitoidOf
hasEndoparasitoid
ectoParasitoid
hasEctoparasitoid
guestOf
hasGuestOf
farmedBy
farms
damagedBy
damages
dispersalVectorOf
hasDispersalVector
aggressorOf
hasAggressor
roostOf
