"","Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Source","URL"
"4837","Hesperiidae","Achlyodes mithridates","Rutaceae","Zanthoxylum monophyllum","EOL","http://eol.org/data_objects/12641071"
"4838","Hesperiidae","Achlyodes mithridates","Rutaceae","Zanthoxylum","EOL","http://eol.org/data_objects/22482818"
"4839","Hesperiidae","Achlyodes mithridates","Rutaceae","Zanthoxylum","EOL","http://eol.org/data_objects/12641071"
"15680","Hesperiidae","Achlyodes mithridates","Rutaceae","Citrus","BHL","http://www.biodiversitylibrary.org/page/41110169"
"15681","Hesperiidae","Achlyodes mithridates","Rutaceae","Zanthoxylum","BHL","http://www.biodiversitylibrary.org/page/41110169"
"16233","Hesperiidae","Achlyodes munroei","Rutaceae","Zanthoxylum","BHL","http://www.biodiversitylibrary.org/page/41005563"
"5874","Hesperiidae","Acleros mackenii","Malpighiaceae","Acridocarpus","EOL","http://eol.org/data_objects/22644997"
"5875","Hesperiidae","Acleros mackenii","Anacardiaceae","Rhus","EOL","http://eol.org/data_objects/22644997"
"15561","Hesperiidae","Acleros mackenii","Malpighiaceae","Acridocarpus","BHL","http://www.biodiversitylibrary.org/page/41065049"
"15562","Hesperiidae","Acleros mackenii","Anacardiaceae","Rhus","BHL","http://www.biodiversitylibrary.org/page/41065049"
"2708","Nymphalidae","Acraea abdera","Salicaceae","Caloncoba","EOL","http://eol.org/data_objects/19842681"
"2699","Nymphalidae","Acraea acara","Passifloraceae","Adenia glauca","EOL","http://eol.org/data_objects/22842653"
"2700","Nymphalidae","Acraea acara","Passifloraceae","Passiflora edulis","EOL","http://eol.org/data_objects/22842653"
"2701","Nymphalidae","Acraea acara","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/22842653"
"2702","Nymphalidae","Acraea acara","Passifloraceae","Passiflora","EOL","http://eol.org/data_objects/22842653"
"2716","Nymphalidae","Acraea acrita","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/19223579"
"2717","Nymphalidae","Acraea acrita","Passifloraceae","Passiflora","EOL","http://eol.org/data_objects/19223579"
"2671","Nymphalidae","Acraea admatha","Violaceae","Rinorea","EOL","http://eol.org/data_objects/22723640"
"2724","Nymphalidae","Acraea aglaonice","Passifloraceae","Passiflora edulis","EOL","http://eol.org/data_objects/19223832"
"2725","Nymphalidae","Acraea aglaonice","Passifloraceae","Passiflora","EOL","http://eol.org/data_objects/19223832"
"10509","Nymphalidae","Acraea aglaonice","Passifloraceae","Passiflora edulis","BHL","http://www.biodiversitylibrary.org/page/7072874"
"10510","Nymphalidae","Acraea aglaonice","Passifloraceae","Passiflora edulis","BHL","http://www.biodiversitylibrary.org/page/7072886"
"10511","Nymphalidae","Acraea aglaonice","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/7072874"
"10512","Nymphalidae","Acraea aglaonice","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/7072886"
"2646","Nymphalidae","Acraea andromacha","Violaceae","Hybanthus enneaspermus","EOL","http://eol.org/data_objects/17596844"
"2647","Nymphalidae","Acraea andromacha","Passifloraceae","Passiflora subpeltata","EOL","http://eol.org/data_objects/17596844"
"2648","Nymphalidae","Acraea andromacha","Passifloraceae","Adenia heterophylla","EOL","http://eol.org/data_objects/17596844"
"2649","Nymphalidae","Acraea andromacha","Passifloraceae","Passiflora mollissima","EOL","http://eol.org/data_objects/17596844"
"2650","Nymphalidae","Acraea andromacha","Passifloraceae","Passiflora suberosa","EOL","http://eol.org/data_objects/17596844"
"2651","Nymphalidae","Acraea andromacha","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/17596844"
"2652","Nymphalidae","Acraea andromacha","Violaceae","Hybanthus","EOL","http://eol.org/data_objects/17596844"
"2653","Nymphalidae","Acraea andromacha","Passifloraceae","Passiflora","EOL","http://eol.org/data_objects/17596844"
"11358","Nymphalidae","Acraea andromacha","Passifloraceae","Passiflora suberosa","BHL","http://www.biodiversitylibrary.org/page/32912316"
"11359","Nymphalidae","Acraea andromacha","Passifloraceae","Passiflora suberosa","BHL","http://www.biodiversitylibrary.org/page/32912318"
"11360","Nymphalidae","Acraea andromacha","Passifloraceae","Passiflora suberosa","BHL","http://www.biodiversitylibrary.org/page/32912317"
"11361","Nymphalidae","Acraea andromacha","Passifloraceae","Passiflora suberosa","BHL","http://www.biodiversitylibrary.org/page/32912322"
"11362","Nymphalidae","Acraea andromacha","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/41134625"
"11363","Nymphalidae","Acraea andromacha","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/32912316"
"11364","Nymphalidae","Acraea andromacha","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/32912318"
"11365","Nymphalidae","Acraea andromacha","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/32912317"
"11366","Nymphalidae","Acraea andromacha","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/32912322"
"2703","Nymphalidae","Acraea anemosa","Passifloraceae","Adenia venenata","EOL","http://eol.org/data_objects/19223835"
"2704","Nymphalidae","Acraea anemosa","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/19223835"
"2726","Nymphalidae","Acraea asboloplintha","Passifloraceae","Adenia lobata","EOL","http://eol.org/data_objects/19228810"
"2727","Nymphalidae","Acraea asboloplintha","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/19228810"
"2728","Nymphalidae","Acraea asboloplintha","Passifloraceae","Basananthe","EOL","http://eol.org/data_objects/19228810"
"2713","Nymphalidae","Acraea asema","Turneraceae","Tricliceras","EOL","http://eol.org/data_objects/19228753"
"2697","Nymphalidae","Acraea barberi","Passifloraceae","Adenia glauca","EOL","http://eol.org/data_objects/19223834"
"2698","Nymphalidae","Acraea barberi","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/19223834"
"2743","Nymphalidae","Acraea bonasia","Malvaceae","Clappertonia ficifolia","EOL","http://eol.org/data_objects/20812578"
"2744","Nymphalidae","Acraea bonasia","Malvaceae","Clappertonia","EOL","http://eol.org/data_objects/20812578"
"2745","Nymphalidae","Acraea bonasia","Malvaceae","Hibiscus","EOL","http://eol.org/data_objects/20812578"
"2746","Nymphalidae","Acraea bonasia","Malvaceae","Triumfetta","EOL","http://eol.org/data_objects/20812578"
"12906","Nymphalidae","Acraea bonasia","Malvaceae","Triumfetta","BHL","http://www.biodiversitylibrary.org/page/14687709"
"2672","Nymphalidae","Acraea boopis","Celastraceae","Cassine tetragona","EOL","http://eol.org/data_objects/23014106"
"2673","Nymphalidae","Acraea boopis","Salicaceae","Rawsonia lucida","EOL","http://eol.org/data_objects/23014106"
"2674","Nymphalidae","Acraea boopis","Celastraceae","Cassine","EOL","http://eol.org/data_objects/23014106"
"2675","Nymphalidae","Acraea boopis","Celastraceae","Maytenus","EOL","http://eol.org/data_objects/23014106"
"2676","Nymphalidae","Acraea boopis","Salicaceae","Rawsonia","EOL","http://eol.org/data_objects/23014106"
"2661","Nymphalidae","Acraea burni","Urticaceae","Pouzolzia mixta","EOL","http://eol.org/data_objects/21645262"
"2662","Nymphalidae","Acraea burni","Urticaceae","Laportea","EOL","http://eol.org/data_objects/21645262"
"2663","Nymphalidae","Acraea burni","Urticaceae","Pouzolzia","EOL","http://eol.org/data_objects/21645262"
"2718","Nymphalidae","Acraea caecilia","Passifloraceae","Adenia cissampeloides","EOL","http://eol.org/data_objects/19228814"
"2719","Nymphalidae","Acraea caecilia","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/19228814"
"2720","Nymphalidae","Acraea caldarena","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/19223827"
"2686","Nymphalidae","Acraea camaena","Verbenaceae","Premna hispida","EOL","http://eol.org/data_objects/22723641"
"2687","Nymphalidae","Acraea camaena","Verbenaceae","Premna","EOL","http://eol.org/data_objects/22723641"
"2688","Nymphalidae","Acraea camaena","Passifloraceae","Smeathmannia","EOL","http://eol.org/data_objects/22723641"
"2754","Nymphalidae","Acraea circeis","Urticaceae","Urera oblongifolia","EOL","http://eol.org/data_objects/20812630"
"2755","Nymphalidae","Acraea circeis","Urticaceae","Urera","EOL","http://eol.org/data_objects/20812630"
"2730","Nymphalidae","Acraea doubledayi","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/19228815"
"2705","Nymphalidae","Acraea egina","Passifloraceae","Adenia lobata","EOL","http://eol.org/data_objects/19228762"
"2706","Nymphalidae","Acraea egina","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/19228762"
"2707","Nymphalidae","Acraea egina","Salicaceae","Rawsonia","EOL","http://eol.org/data_objects/19228762"
"2741","Nymphalidae","Acraea encedon","Commelinaceae","Commelina","EOL","http://eol.org/data_objects/5167626"
"2742","Nymphalidae","Acraea encedon","Commelinaceae","Commelina","EOL","http://eol.org/data_objects/19223841"
"10683","Nymphalidae","Acraea encedon","Commelinaceae","Commelina","BHL","http://www.biodiversitylibrary.org/page/40678463"
"10684","Nymphalidae","Acraea encedon","Commelinaceae","Commelina","BHL","http://www.biodiversitylibrary.org/page/15104998"
"10685","Nymphalidae","Acraea encedon","Commelinaceae","Commelina","BHL","http://www.biodiversitylibrary.org/page/7072887"
"10686","Nymphalidae","Acraea encedon","Commelinaceae","Commelina","BHL","http://www.biodiversitylibrary.org/page/7072863"
"10687","Nymphalidae","Acraea encedon","Commelinaceae","Commelina","BHL","http://www.biodiversitylibrary.org/page/14687178"
"10688","Nymphalidae","Acraea encedon","Commelinaceae","Commelina","BHL","http://www.biodiversitylibrary.org/page/14692914"
"2767","Nymphalidae","Acraea endoscota","Violaceae","Rinorea","EOL","http://eol.org/data_objects/19228685"
"2768","Nymphalidae","Acraea epaea","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/10111224"
"2747","Nymphalidae","Acraea eponina","Malvaceae","Triumfetta annua","EOL","http://eol.org/data_objects/23233522"
"2748","Nymphalidae","Acraea eponina","Malvaceae","Triumfetta rhomboidea","EOL","http://eol.org/data_objects/23233522"
"2749","Nymphalidae","Acraea eponina","Malvaceae","Hermannia","EOL","http://eol.org/data_objects/23233522"
"2750","Nymphalidae","Acraea eponina","Malvaceae","Hibiscus","EOL","http://eol.org/data_objects/23233522"
"2751","Nymphalidae","Acraea eponina","Solanaceae","Nicotiana","EOL","http://eol.org/data_objects/23233522"
"2752","Nymphalidae","Acraea eponina","Malvaceae","Sida","EOL","http://eol.org/data_objects/23233522"
"2753","Nymphalidae","Acraea eponina","Malvaceae","Triumfetta","EOL","http://eol.org/data_objects/23233522"
"2721","Nymphalidae","Acraea equatorialis","Malvaceae","Malva verticillata","EOL","http://eol.org/data_objects/19228818"
"2722","Nymphalidae","Acraea equatorialis","Malvaceae","Malva","EOL","http://eol.org/data_objects/19228818"
"2723","Nymphalidae","Acraea equatorialis","Passifloraceae","Passiflora","EOL","http://eol.org/data_objects/19228818"
"2681","Nymphalidae","Acraea horta","Salicaceae","Kiggelaria africana","EOL","http://eol.org/data_objects/19223583"
"2682","Nymphalidae","Acraea horta","Passifloraceae","Passiflora manicata","EOL","http://eol.org/data_objects/19223583"
"2683","Nymphalidae","Acraea horta","Salicaceae","Kiggelaria","EOL","http://eol.org/data_objects/19223583"
"2684","Nymphalidae","Acraea horta","Passifloraceae","Passiflora","EOL","http://eol.org/data_objects/19223583"
"2685","Nymphalidae","Acraea horta","Passifloraceae","Passiflora","EOL","http://eol.org/data_objects/22763686"
"11332","Nymphalidae","Acraea horta","Salicaceae","Kiggelaria africana","BHL","http://www.biodiversitylibrary.org/page/7072870"
"11333","Nymphalidae","Acraea horta","Passifloraceae","Passiflora edulis","BHL","http://www.biodiversitylibrary.org/page/7072874"
"11334","Nymphalidae","Acraea horta","Passifloraceae","Passiflora edulis","BHL","http://www.biodiversitylibrary.org/page/7072886"
"11335","Nymphalidae","Acraea horta","Salicaceae","Kiggelaria","BHL","http://www.biodiversitylibrary.org/page/7072870"
"11336","Nymphalidae","Acraea horta","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/7072874"
"11337","Nymphalidae","Acraea horta","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/7072886"
"11338","Nymphalidae","Acraea horta","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/9960059"
"2678","Nymphalidae","Acraea insignis","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/22723645"
"2679","Nymphalidae","Acraea insignis","Malvaceae","Gossypium","EOL","http://eol.org/data_objects/22723645"
"2680","Nymphalidae","Acraea insignis","Vitaceae","Vitis","EOL","http://eol.org/data_objects/22723645"
"11881","Nymphalidae","Acraea insignis","Passifloraceae","Adenia","BHL","http://www.biodiversitylibrary.org/page/39203023"
"2757","Nymphalidae","Acraea jodutta","Urticaceae","Boehmeria","EOL","http://eol.org/data_objects/26522326"
"2758","Nymphalidae","Acraea jodutta","Urticaceae","Pouzolzia","EOL","http://eol.org/data_objects/26522326"
"2677","Nymphalidae","Acraea leucographa","Violaceae","Rinorea","EOL","http://eol.org/data_objects/19223584"
"2734","Nymphalidae","Acraea natalica","Passifloraceae","Adenia gummifera","EOL","http://eol.org/data_objects/22403050"
"2735","Nymphalidae","Acraea natalica","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/22403050"
"2736","Nymphalidae","Acraea natalica","Passifloraceae","Passiflora","EOL","http://eol.org/data_objects/22403050"
"9260","Nymphalidae","Acraea natalica","Passifloraceae","Passiflora caerulea","BHL","http://www.biodiversitylibrary.org/page/7072887"
