,"Fish No","Fish Species","Date ",,"Site ","SL(mm)","Stomach volume","Stomach status","C. Method","Detritus","Sand","Diatoms","Centric diatoms","Pennate diatoms","Oscillatoria ","Filamentous algae","Green algae","Other blue green algae","Unicellular green algae","Brown algae","Golden brown algae","Nostocales (Blue green algae)","Chara","Ruppia maritima","Other macrophytes","Seeds","Invertebrate eggs ","Fish bones","Lucania parva eggs","Other fish eggs","Catfish egg","Unidentified bone","Fish eyes","Fish otolith","Ctenoid fish scale","Cycloid fish scale","Dinoflagellates (Noctiluca spp.)","Protozoa","Bivalvia","Gastropoda","Nematode","Nemotode(Parasite)","Calanoida copepoda","Harpacticoida copepoda","Copepoda nauplii","Cyclopoid copepoda","Cladocera","Rotifera","Unidefined zooplankton","Chironomidae larvae","Diptera 1","Diptera 2","Diptera midges(pupa)","Polycheate worm","Other annelid worms","Amphipoda(Gammarus spp.)","Corophium sp(amphipoda)","Decopoda larvae","Isopoda","Unidentified invertebrate","Other Ephemeroptera(Mayfly)","Ephemeroptera(Baetidae)","Coleoptera","Other Hymenoptera","Odonate","Damselfly","Other Thrips","Thysanoptera (thrips)","Pteromalitidae(Hymenoptera)","Hemiptera","Homoptera","Unidentified insect larvae","Arachnida ","Unidentified insects","Mollusks (Oyster)","Other Mollusks","Ostracoda","Brachyura (Crab zoea)","Mysidacea","Penneid shrimp post larvae","Unidentified shrimp","Palaemonotes pugio","Peneaus setiferus","Peneaus aztecus","Callinectes sapidus","Other crabs","Neopunope sayi(mud crab)","Myrophis punctatus (speckled worm eel)","Mugil cephalus","Brevoortia patronus","Lepisosteus osseus ","Fundulus  grandis","Other fundulus species","Cyprinodon variegatus","Pogonias cromis","Menidia beryllina","Anchoa mitchilli","Other Sciaenidae species","Lagodon rhomboides","Arius felis","Leiostomus xanthurus","Gobiosoma bosc","Lucania parva","Micropogonias undulatus","Cynoscion nebulosus","Poecilia latipinna","Unidentified fish","Unidentified fish larvae","Other Gobiidae ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,"Pogonias cromis","10.03.98",,6,120,0.02,,"Gillnet",0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"Pogonias cromis","12.05.98",,1,752,0.1,,"Gillnet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"Pogonias cromis","12.05.98",,5,190,0.9,,"Gillnet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,"Pogonias cromis","12.05.98",,5,191,0.08,,"Gillnet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,"Pogonias cromis",,,,,1,,,0.36,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0,0,0,0.66,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,8.85,0,0,0,0,0.0008,0.5,0,0,0,1.29,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"Sciaenops ocellatus","03.07.98",,1,532,1.225,,"Gillnet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,"Sciaenops ocellatus","03.07.98",,1,485,0.3,,"Gillnet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"Sciaenops ocellatus","03.07.98",,1,487,4,,"Gillnet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,"Sciaenops ocellatus","03.07.98",,1,444,1.45,,"Gillnet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.7,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,"Sciaenops ocellatus","03.07.98",,1,526,1.1,,"Gillnet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
