,"Fish No","Fish Species","Date ",,"Site ","SL(mm)","Stomach volume","Stomach status","C. Method","Detritus","Sand","Diatoms","Centric diatoms","Pennate diatoms","Oscillatoria ","Filamentous algae","Green algae","Other blue green algae","Unicellular green algae","Brown algae","Golden brown algae","Nostocales (Blue green algae)","Chara","Ruppia maritima","Other macrophytes","Seeds","Invertebrate eggs ","Fish bones","Lucania parva eggs","Other fish eggs","Catfish egg","Unidentified bone","Fish eyes","Fish otolith","Ctenoid fish scale","Cycloid fish scale","Dinoflagellates (Noctiluca spp.)","Protozoa","Bivalvia","Gastropoda","Nematode","Nemotode(Parasite)","Calanoida copepoda","Harpacticoida copepoda","Copepoda nauplii","Cyclopoid copepoda","Cladocera","Rotifera","Unidefined zooplankton","Chironomidae larvae","Diptera 1","Diptera 2","Diptera midges(pupa)","Polycheate worm","Other annelid worms","Amphipoda(Gammarus spp.)","Corophium sp(amphipoda)","Decopoda larvae","Isopoda","Unidentified invertebrate","Other Ephemeroptera(Mayfly)","Ephemeroptera(Baetidae)","Coleoptera","Other Hymenoptera","Odonate","Damselfly","Other Thrips","Thysanoptera (thrips)","Pteromalitidae(Hymenoptera)","Hemiptera","Homoptera","Unidentified insect larvae","Arachnida ","Unidentified insects","Mollusks (Oyster)","Other Mollusks","Ostracoda","Brachyura (Crab zoea)","Mysidacea","Penneid shrimp post larvae","Unidentified shrimp","Palaemonotes pugio","Peneaus setiferus","Peneaus aztecus","Callinectes sapidus","Other crabs","Neopunope sayi(mud crab)","Myrophis punctatus (speckled worm eel)","Mugil cephalus","Brevoortia patronus","Lepisosteus osseus ","Fundulus  grandis","Other fundulus species","Cyprinodon variegatus","Pogonias cromis","Menidia beryllina","Anchoa mitchilli","Other Sciaenidae species","Lagodon rhomboides","Arius felis","Leiostomus xanthurus","Gobiosoma bosc","Lucania parva","Micropogonias undulatus","Cynoscion nebulosus","Poecilia latipinna","Unidentified fish","Unidentified fish larvae","Other Gobiidae ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,"Brevoortia patronus","01.30.99",,4,28,0.03,,"Seine",0.012,0.003,,,0.0135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"Brevoortia patronus","01.30.99",,4,22.5,0.007,,"Seine",0.00021,0.00014,,0.00035,0.0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,"Brevoortia patronus","01.30.99",,4,22.6,0.005,,"Seine",0.0015,0.00025,,0.00005,0.002,,,,,,,,,,,,,0.0002,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,"Brevoortia patronus","01.30.99",,4,27.6,0.005,,"Seine",0.0045,0.00025,,,0.00025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,"Brevoortia patronus","01.30.99",,4,21.3,0.002,,"Seine",0.0003,,,,0.0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,"Brevoortia patronus","01.30.99",,4,22.3,0.007,,"Seine",0.00126,0.0007,,0.00014,0.0049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,"Brevoortia patronus","01.30.99",,4,26.8,0.0015,,"Seine",0.00135,0.000075,,,0.00003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,"Brevoortia patronus","01.30.99",,4,24.2,0.01,,"Seine",0.0015,0.001,,,0.0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,"Brevoortia patronus","01.30.99",,4,21.2,0.006,,"Seine",0.0036,0.0015,,,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,"Brevoortia patronus","01.30.99",,4,21.4,0.001,,"Seine",0.0005,0.00015,,0.00001,0.00004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,"Brevoortia patronus","01.30.99",,4,20.5,0.003,,"Seine",0.00225,0.0003,,,0.00045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"Brevoortia patronus","01.30.99",,5,23.3,0.007,,"Seine",0.0056,0.00105,,,0.00035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,"Brevoortia patronus","01.30.99",,5,23,0.02,,"Seine",0.016,0.002,,0.0002,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"Brevoortia patronus","01.30.99",,5,24.4,0.015,,"Seine",0.01275,0.0015,,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,"Brevoortia patronus","01.30.99",,5,24.8,0.003,,"Seine",0.00234,0.0006,,,0.00006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,"Brevoortia patronus","01.30.99",,5,22.5,0.005,,"Seine",0.004,0.0005,,0.00025,0.00025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,"Brevoortia patronus","01.30.99",,5,21,0.003,,"Seine",,0.0003,,0.00006,0.00003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,"Brevoortia patronus","01.30.99",,5,23.8,0.015,,"Seine",0.0081,0.00075,,,0.0045,,0.00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,"Brevoortia patronus","01.30.99",,5,21.1,0.001,,"Seine",0.00085,0.0001,,,0.00005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,"Brevoortia patronus","01.30.99",,5,21,0.002,,"Seine",0.0009,0.0002,,,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,"Brevoortia patronus","01.30.99",,5,21.7,0.01,,"Seine",,0.0005,,0.001,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,"Brevoortia patronus","01.30.99",,5,20.1,0.004,,"Seine",,0.0032,,0.00008,0.00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,"Brevoortia patronus","01.30.99",,5,22.5,0.005,,"Seine",0.004,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"Brevoortia patronus","01.30.99",,6,24.3,0.009,,"Seine",0.00675,0.00225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,"Brevoortia patronus","01.30.99",,6,23.3,0.012,,"Seine",0.009,0.0024,,0.000012,0.000588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"Brevoortia patronus","01.30.99",,6,24,0.005,,"Seine",0.004,0.00075,,,0.00025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,"Brevoortia patronus","01.30.99",,6,22.6,0.0015,,"Seine",0.00105,0.0003,,0.000075,0.000045,,0.00003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,"Brevoortia patronus","01.30.99",,6,21,0.003,,"Seine",0.0021,0.0006,,0.00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,"Brevoortia patronus","01.30.99",,6,24.3,0.02,,"Seine",0.013,0.006,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,"Brevoortia patronus","01.30.99",,6,22.3,0.009,,"Seine",0.0063,0.0018,,0.00063,0.00027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,"Brevoortia patronus","01.30.99",,6,22.5,0.009,,"Seine",0.00576,0.0027,,,0.00027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,"Brevoortia patronus","01.30.99",,6,21.2,0.009,,"Seine",0.00567,0.0027,,,0.00063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,"Brevoortia patronus","01.30.99",,6,24.5,0.002,,"Seine",0.00098,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,"Brevoortia patronus","01.30.99",,6,20.7,0.003,,"Seine",0.0027,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,"Brevoortia patronus","01.30.99",,6,26.7,0.001,,"Seine",0.00085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,314,"Brevoortia patronus",,,,,0,,,7.069965,5.077465,0.0006,2.601383,0.597148,0,0.351459,0,0.09265,0.05441,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0.10465,0.020825,0.01061,0,0.00033,0,0.07447,0.02124,0.060035,0,0.0192,0.00216,0,0,0,0,0,0.0006,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"Leiostomus  xanthurus","03.07.98",,1,33.4,0.007,,"Seine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021,,0.00315,,,,,,0.00175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,"Leiostomus  xanthurus","03.07.98",,1,45.7,0.004,,"Seine",,,,,,,,,,,,,,,,,,0.0002,,,,,,,,0.0002,,,,,,,,0.0024,,,,,,,,,,,,,,,,,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"Leiostomus  xanthurus","03.07.98",,1,36.5,0.01,,"Seine",,0.0025,,0.0001,,,0.001,,,,,,,,0.0002,,,0.0002,,,,,,,,,,,,,,0.003,,0.002,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,"Leiostomus  xanthurus","03.07.98",,1,46.4,0.007,,"Seine",,0.00105,,,,,,,,,,,,,,,,,,,,,,,,,0.00021,,,,,0.0021,,0.0028,,,,,,,,,,0.00084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,"Leiostomus  xanthurus","03.07.98",,1,41.7,0.05,,"Seine",,0.005,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,"Leiostomus  xanthurus","03.07.98",,1,33.5,0.0098,,"Seine",,,,,,,,,,,,,,,,,,0.001,,,,,,,,0.0003,,,,,,0.005,,0.0025,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,"Leiostomus  xanthurus","03.07.98",,1,33.5,0.01,,"Seine",,,,,,,,,,,,,,,,,,0.0001,,,,,,,,,,,0.0001,,,0.0015,,0.0025,,,,,,0.0008,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,"Leiostomus  xanthurus","03.07.98",,1,31.9,0.005,,"Seine",,0.00025,,0.00005,,,,,,,,,,,,,,,,,,,,,,0.00005,,,,,,0.002,,0.00225,,,,,,,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,"Leiostomus  xanthurus","03.07.98",,1,29.8,0.01,,"Seine",,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,,,0.0001,,0.0045,,,,,,,0.0025,,,,,,,,,,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,"Leiostomus  xanthurus","03.07.98",,1,36.7,0.018,,"Seine",,0.00036,,,,,,,,,,,,,,,,0.00108,,,,,,,,,0.00036,,,,,0.0045,,0.0099,,,,,,,0.0009,,,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,"Leiostomus  xanthurus","03.07.98",,1,32.7,0.01,,"Seine",,0.0045,,,,,,,0.0008,,,,,,,,,,,,,,,,,,,,,,,0.0002,,0.001,,,,,,,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,"Leiostomus  xanthurus","03.07.98",,1,31.4,0.007,,"Seine",,,,,,,,,,,,,,,0.00042,,,,,,,,,,,,,,0.00007,0.00014,,,,0.0042,,,,,,,0.00105,,,,,,,,,0.00014,0.00084,,,0.00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,"Leiostomus  xanthurus","03.07.98",,1,33.7,0.007,,"Seine",,0.00245,,,,,,,,,,,,,,,,,,,,,,,,0.00021,,,,,,0.00105,,0.0021,,,,,0.00021,,0.00021,,,0.00077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,"Leiostomus  xanthurus","03.07.98",,1,31.7,0.008,,"Seine",,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004,,0.0012,,0.0024,,,,,,,0.0024,,,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,"Leiostomus  xanthurus","03.07.98",,1,32.4,0.011,,"Seine",,0.00154,,,,,,,,,,,,,,,,0.00077,,,,,,,,0.00077,,,,,,0.0022,,,,,,,0.00022,,0.00385,,,0.00165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,"Leiostomus  xanthurus","03.07.98",,1,31.3,0.005,,"Seine",,0.00045,,,,,,,,,,,,,,,,0.00035,,,,,,,,0.00035,,,,,,0.00075,,0.003,,,,,,,,,,,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,"Leiostomus  xanthurus","03.07.98",,1,34.7,0.01,,"Seine",,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,0.006,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,"Leiostomus  xanthurus","03.07.98",,1,32.1,0.01,,"Seine",,0.001,,,,,,,,,,,,,,,,,,,,,,,,0.0004,0.0004,,,,,0.0007,,0.0015,,,,,,,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,"Leiostomus  xanthurus","03.07.98",,1,31.7,0.003,,"Seine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009,,0.0012,,,,,,,,,,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,"Leiostomus  xanthurus","03.07.98",,1,31.3,0.005,,"Seine",,0.0002,,,,,,,,,,,,,,,,0.00015,,,,,,,,0.00015,,,,,,0.001,,0.00175,,,,,,,0.00175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,"Leiostomus  xanthurus","03.07.98",,1,32,0.004,,"Seine",,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,,,,,,0.001,,0.002,,,,,,,,,,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,"Leiostomus  xanthurus","03.07.98",,1,30.5,0.007,,"Seine",,,,,,,,,,,,,,,,,,0.00042,,,,,,,,,,,,,,0.00028,,0.0028,,,,,,,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,"Leiostomus  xanthurus","03.07.98",,1,30.5,0.003,,"Seine",,,,,,,,,,,,,,,,,,0.00012,,,,,,,,,,,0.00012,,,0.00045,,0.0012,,,,,,,0.0003,,,0.00081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,"Leiostomus  xanthurus","03.07.98",,1,32.5,0.003,,"Seine",,0.00012,,,,,,,0.00003,,,,,,,,,0.00045,,,,,,,,,,,,,,0.00075,,0.0015,,,,,,,0.00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,"Leiostomus  xanthurus","03.07.98",,1,31.7,0.002,,"Seine",,,,,,,,,0.00004,,,,,,,,,,,,,,,,,,,,,,,,,0.00096,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,"Leiostomus  xanthurus","03.07.98",,1,30.1,0.002,,"Seine",,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004,,0.001,,,,,,,,,,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
