ID,Common_Name,Scientific_Name,Taxonomy,Longitude,Latitude,Altitude_min_m,Altitude_mean_m,Altitude_max_m,Location_Region,Location_Specific,Habitat_type,Observation_Month_Begin,Observation_Year_Begin,Observation_Month_End,Observation_Year_End,Observation_Season,Prey_Kingdom,Prey_Phylum,Prey_Class,Prey_Order,Prey_Suborder,Prey_Family,Prey_Genus,Prey_Scientific_Name,Prey_Stage,Prey_Part,Prey_Common_Name,Fraction_Diet_By_Wt_or_Vol,Fraction_Diet_By_Items,Fraction_Occurrence,Fraction_Diet_Unspecified,Item Sample Size,Bird Sample size,Sites,Study Type,Notes,Source
13,Ovenbird,Seiurus aurocapillus,"AOU 7th ed., 52nd supplement",,,5,,630,Jamaica,,"shade coffee, second-growth scrub, and undisturbed dry limestone forest",11,1993,3,1997,winter,Animalia,Arthropoda,Insecta,Diptera,,,,,,,,,0.003,0.0400,,2137,53,4,Emetic,"When seeds were excluded from the analysis, Ovenbird diets were similar across habitats","Strong, A. M. 2000. Divergent foraging strategies of two neotropical migrant warblers: Implications for winter habitat use. Auk 117(2):381-392."
14,Ovenbird,Seiurus aurocapillus,"AOU 7th ed., 52nd supplement",,,5,,630,Jamaica,,"shade coffee, second-growth scrub, and undisturbed dry limestone forest",11,1993,3,1997,winter,Animalia,Arthropoda,Diplopoda,,,,,,,,,,0.002,0.0800,,2137,53,4,Emetic,"When seeds were excluded from the analysis, Ovenbird diets were similar across habitats","Strong, A. M. 2000. Divergent foraging strategies of two neotropical migrant warblers: Implications for winter habitat use. Auk 117(2):381-392."
15,Ovenbird,Seiurus aurocapillus,"AOU 7th ed., 52nd supplement",,,5,,630,Jamaica,,"shade coffee, second-growth scrub, and undisturbed dry limestone forest",11,1993,3,1997,winter,Animalia,Arthropoda,Insecta,Odonata,,,,,,,,,0.001,0.0400,,2137,53,4,Emetic,"When seeds were excluded from the analysis, Ovenbird diets were similar across habitats","Strong, A. M. 2000. Divergent foraging strategies of two neotropical migrant warblers: Implications for winter habitat use. Auk 117(2):381-392."
16,Ovenbird,Seiurus aurocapillus,"AOU 7th ed., 52nd supplement",,,5,,630,Jamaica,,"shade coffee, second-growth scrub, and undisturbed dry limestone forest",11,1993,3,1997,winter,Animalia,Arthropoda,Insecta,Isoptera,,,,,,,,,0.001,0.0400,,2137,53,4,Emetic,"When seeds were excluded from the analysis, Ovenbird diets were similar across habitats","Strong, A. M. 2000. Divergent foraging strategies of two neotropical migrant warblers: Implications for winter habitat use. Auk 117(2):381-392."
17,Ovenbird,Seiurus aurocapillus,"AOU 7th ed., 52nd supplement",,,5,,630,Jamaica,,"shade coffee, second-growth scrub, and undisturbed dry limestone forest",11,1993,3,1997,winter,Animalia,Arthropoda,,,,,,,egg,,,,0.000,0.0200,,2137,53,4,Emetic,"When seeds were excluded from the analysis, Ovenbird diets were similar across habitats","Strong, A. M. 2000. Divergent foraging strategies of two neotropical migrant warblers: Implications for winter habitat use. Auk 117(2):381-392."
18,Ovenbird,Seiurus aurocapillus,"AOU 7th ed., 52nd supplement",,,5,,630,Jamaica,,"shade coffee, second-growth scrub, and undisturbed dry limestone forest",11,1993,3,1997,winter,Animalia,Arthropoda,unknown,,,,,,,,,,0.000,0.0200,,2137,53,4,Emetic,"When seeds were excluded from the analysis, Ovenbird diets were similar across habitats","Strong, A. M. 2000. Divergent foraging strategies of two neotropical migrant warblers: Implications for winter habitat use. Auk 117(2):381-392."
19,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Odonata,,Libellulidae,,,adult,,dragon flies,0.006,,0.0950,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
20,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Orthoptera,,mantidae,,,adult,,mantids,0.028,,0.0480,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
21,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Orthoptera,,Blattidae,,,eggs,,cockroaches,0.132,,0.3810,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
22,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Orthoptera,,tetrigidae,,,adult,,pygmy grasshoppers,trace,,0.0480,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
