PresentAtCSM	PresentAtEPB	PresentAtBSQ	PresentAtAnyEstuary	ConsumerNodeID	ResourceNodeID	ConsumerSpeciesID	ResourceSpeciesID	ConsumerSpeciesID.StageID	ResourceSpeciesID.StageID	LinkTypeID	LinkType	LinkEvidence	LinkEvidenceNotes	LinkFrequency	LinkN	DietFraction	ConsumptionRate	VectorFrom	PreyFrom
1	0	0	1	89	396	65	277	65.1	277.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	399	65	279	65.1	279.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	89	400	65	280	65.1	280.3	16	predation on free-living non-feeding stage	inferred							
1	0	1	1	90	12	66	12	66.1	12.1	1	predation	observed							
1	0	0	1	91	6	67	6	67.1	6.1	1	predation	inferred							
1	0	0	1	91	12	67	12	67.1	12.1	1	predation	inferred							
1	0	0	1	91	50	67	25	67.1	25.2	1	predation	inferred							
1	0	0	1	91	68	67	44	67.1	44.2	1	predation	inferred							
1	0	0	1	91	101	67	61	67.1	61.2	1	predation	inferred							
1	0	0	1	91	104	67	64	67.1	64.2	1	predation	inferred							
1	0	0	1	91	105	67	65	67.1	65.2	1	predation	inferred							
1	0	0	1	91	106	67	66	67.1	66.2	1	predation	inferred							
1	0	0	1	91	107	67	67	67.1	67.2	1	predation	inferred							
1	0	0	1	91	108	67	68	67.1	68.2	1	predation	inferred							
1	0	0	1	91	110	67	70	67.1	70.2	1	predation	inferred							
1	0	0	1	91	111	67	71	67.1	71.2	1	predation	inferred							
1	0	0	1	91	112	67	72	67.1	72.2	1	predation	inferred							
1	0	0	1	91	113	67	73	67.1	73.2	1	predation	inferred							
1	0	0	1	91	353	67	233	67.1	233.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	354	67	234	67.1	234.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	355	67	235	67.1	235.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	357	67	237	67.1	237.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	358	67	238	67.1	238.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	359	67	239	67.1	239.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	360	67	240	67.1	240.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	364	67	244	67.1	244.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	365	67	245	67.1	245.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	366	67	246	67.1	246.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	367	67	247	67.1	247.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	369	67	250	67.1	250.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	370	67	251	67.1	251.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	374	67	255	67.1	255.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	384	67	265	67.1	265.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	385	67	266	67.1	266.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	386	67	267	67.1	267.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	387	67	268	67.1	268.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	388	67	269	67.1	269.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	390	67	271	67.1	271.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	391	67	272	67.1	272.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	392	67	273	67.1	273.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	393	67	274	67.1	274.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	394	67	275	67.1	275.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	395	67	276	67.1	276.3	16	predation on free-living non-feeding stage	modeled							
1	0	0	1	91	396	67	277	67.1	277.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	91	399	67	279	67.1	279.3	16	predation on free-living non-feeding stage	inferred							
