PresentAtCSM	PresentAtEPB	PresentAtBSQ	PresentAtAnyEstuary	ConsumerNodeID	ResourceNodeID	ConsumerSpeciesID	ResourceSpeciesID	ConsumerSpeciesID.StageID	ResourceSpeciesID.StageID	LinkTypeID	LinkType	LinkEvidence	LinkEvidenceNotes	LinkFrequency	LinkN	DietFraction	ConsumptionRate	VectorFrom	PreyFrom
0	0	1	1	43	393	43	274	43.1	274.3	16	predation on free-living non-feeding stage	modeled							
0	0	1	1	43	394	43	275	43.1	275.3	16	predation on free-living non-feeding stage	modeled							
0	0	1	1	43	395	43	276	43.1	276.3	16	predation on free-living non-feeding stage	modeled							
0	0	1	1	43	396	43	277	43.1	277.3	16	predation on free-living non-feeding stage	modeled							
0	0	1	1	43	399	43	279	43.1	279.3	16	predation on free-living non-feeding stage	modeled							
0	0	1	1	43	413	43	244	43.1	244.4	14	concurrent predation on symbionts	inferred							
0	0	1	1	43	415	43	247	43.1	247.4	14	concurrent predation on symbionts	inferred							
0	0	1	1	43	416	43	248	43.1	248.4	14	concurrent predation on symbionts	inferred							
0	0	1	1	43	454	43	283	43.1	283.2	14	concurrent predation on symbionts	inferred							
0	0	1	1	43	456	43	287	43.1	287.2	14	concurrent predation on symbionts	inferred							
0	0	1	1	43	457	43	288	43.1	288.2	14	concurrent predation on symbionts	inferred							
0	0	1	1	43	459	43	290	43.1	290.2	14	concurrent predation on symbionts	inferred							
0	0	1	1	43	479	43	293	43.1	293.2	14	concurrent predation on symbionts	inferred							
0	0	1	1	43	480	43	294	43.1	294.2	14	concurrent predation on symbionts	inferred							
0	0	1	1	43	497	43	310	43.1	310.2	14	concurrent predation on symbionts	inferred							
0	1	1	1	45	2	45	2	45.1	2.1	18	detritivory	inferred							
0	1	1	1	45	21	45	21	45.1	21.1	1	predation	inferred							
0	0	1	1	45	49	45	24	45.1	24.2	1	predation	modeled							
0	0	1	1	45	50	45	25	45.1	25.2	1	predation	inferred							
0	1	1	1	45	51	45	26	45.1	26.2	1	predation	modeled							
0	1	1	1	45	54	45	29	45.1	29.2	1	predation	modeled							
0	0	1	1	45	59	45	34	45.1	34.2	1	predation	modeled							
0	0	1	1	45	60	45	36	45.1	36.2	1	predation	modeled							
0	0	1	1	45	61	45	37	45.1	37.2	1	predation	modeled							
0	0	1	1	45	62	45	38	45.1	38.2	1	predation	modeled							
0	0	1	1	45	63	45	39	45.1	39.2	1	predation	modeled							
0	0	1	1	45	64	45	40	45.1	40.2	1	predation	modeled							
0	0	1	1	45	65	45	41	45.1	41.2	1	predation	modeled							
0	0	1	1	45	66	45	42	45.1	42.2	1	predation	modeled							
0	0	1	1	45	67	45	43	45.1	43.2	1	predation	modeled							
0	1	1	1	45	69	45	45	45.1	45.2	1	predation	modeled							
0	0	1	1	45	106	45	66	45.1	66.2	1	predation	inferred							
0	1	1	1	45	132	45	92	45.1	92.1	1	predation	inferred							
0	1	1	1	45	140	45	100	45.1	100.1	1	predation	inferred							
0	1	1	1	45	144	45	104	45.1	104.1	1	predation	inferred							
0	1	1	1	45	353	45	233	45.1	233.3	15	trophic transmission	inferred							
0	1	1	1	45	354	45	234	45.1	234.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	355	45	235	45.1	235.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	357	45	237	45.1	237.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	358	45	238	45.1	238.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	359	45	239	45.1	239.3	16	predation on free-living non-feeding stage	inferred							
